category,name,value
overall,unique_relative_png_paths,1882
branch,py313_main_present_files,1882
branch,py313_main_missing_files,0
branch,py313_present_files,1882
branch,py313_missing_files,0
branch,py314_present_files,1882
branch,py314_missing_files,0
vs_main,py313_missing_compared_to_main,0
vs_main,py313_extra_compared_to_main,0
vs_main,py314_missing_compared_to_main,0
vs_main,py314_extra_compared_to_main,0
pair,py313_main_vs_py313_compared_files,1882
pair,py313_main_vs_py313_identical_files,1845
pair,py313_main_vs_py313_different_files,37
pair,py313_main_vs_py313_missing_left,0
pair,py313_main_vs_py313_missing_right,0
pair,py313_main_vs_py313_size_mismatch,0
pair,py313_main_vs_py313_total_pixel_diff_count,4212
pair,py313_main_vs_py313_max_pixel_diff_fraction,0.000097920380
pair,py313_main_vs_py313_mean_pixel_diff_fraction,0.000001063836
pair,py313_main_vs_py314_compared_files,1882
pair,py313_main_vs_py314_identical_files,1882
pair,py313_main_vs_py314_different_files,0
pair,py313_main_vs_py314_missing_left,0
pair,py313_main_vs_py314_missing_right,0
pair,py313_main_vs_py314_size_mismatch,0
pair,py313_main_vs_py314_total_pixel_diff_count,0
pair,py313_main_vs_py314_max_pixel_diff_fraction,0.000000000000
pair,py313_main_vs_py314_mean_pixel_diff_fraction,0.000000000000
pair,py313_vs_py314_compared_files,1882
pair,py313_vs_py314_identical_files,1845
pair,py313_vs_py314_different_files,37
pair,py313_vs_py314_missing_left,0
pair,py313_vs_py314_missing_right,0
pair,py313_vs_py314_size_mismatch,0
pair,py313_vs_py314_total_pixel_diff_count,4212
pair,py313_vs_py314_max_pixel_diff_fraction,0.000097920380
pair,py313_vs_py314_mean_pixel_diff_fraction,0.000001063836
