package,ed_main_py313_resolved_package,ed_main_py313_version,ed_main_py313_channel,ed_main_py314_resolved_package,ed_main_py314_version,ed_main_py314_channel,ed_main_py314_xr2025101_resolved_package,ed_main_py314_xr2025101_version,ed_main_py314_xr2025101_channel,ed_main_py314_xr2025110_resolved_package,ed_main_py314_xr2025110_version,ed_main_py314_xr2025110_channel,ed_main_py314_xr2025120_resolved_package,ed_main_py314_xr2025120_version,ed_main_py314_xr2025120_channel,ed_main_py314_xr2026010_resolved_package,ed_main_py314_xr2026010_version,ed_main_py314_xr2026010_channel,ed_1048_py314_resolved_package,ed_1048_py314_version,ed_1048_py314_channel
python,python,3.13.12,conda-forge,python,3.14.3,conda-forge,python,3.14.3,conda-forge,python,3.14.3,conda-forge,python,3.14.3,conda-forge,python,3.14.3,conda-forge,python,3.14.3,conda-forge
xarray,xarray,2026.2.0,conda-forge,xarray,2026.2.0,conda-forge,xarray,2025.10.1,conda-forge,xarray,2025.11.0,conda-forge,xarray,2025.12.0,conda-forge,xarray,2026.1.0,conda-forge,xarray,2026.2.0,conda-forge
uxarray,uxarray,2026.03.0,conda-forge,uxarray,2026.03.0,conda-forge,uxarray,2026.03.0,conda-forge,uxarray,2026.03.0,conda-forge,uxarray,2026.03.0,conda-forge,uxarray,2026.03.0,conda-forge,uxarray,2026.03.0,conda-forge
numpy,numpy,2.4.3,conda-forge,numpy,2.4.3,conda-forge,numpy,2.4.3,conda-forge,numpy,2.4.3,conda-forge,numpy,2.4.3,conda-forge,numpy,2.4.3,conda-forge,numpy,2.4.3,conda-forge
pandas,pandas,3.0.2,conda-forge,pandas,3.0.2,conda-forge,pandas,3.0.2,conda-forge,pandas,3.0.2,conda-forge,pandas,3.0.2,conda-forge,pandas,3.0.2,conda-forge,pandas,3.0.2,conda-forge
dask,dask,2026.3.0,conda-forge,dask,2026.3.0,conda-forge,dask,2026.3.0,conda-forge,dask,2026.3.0,conda-forge,dask,2026.3.0,conda-forge,dask,2026.3.0,conda-forge,dask,2026.3.0,conda-forge
matplotlib,matplotlib-base,3.10.8,conda-forge,matplotlib-base,3.10.8,conda-forge,matplotlib-base,3.10.8,conda-forge,matplotlib-base,3.10.8,conda-forge,matplotlib-base,3.10.8,conda-forge,matplotlib-base,3.10.8,conda-forge,matplotlib-base,3.10.8,conda-forge
cartopy,cartopy,0.24.0,conda-forge,cartopy,0.24.0,conda-forge,cartopy,0.24.0,conda-forge,cartopy,0.24.0,conda-forge,cartopy,0.24.0,conda-forge,cartopy,0.24.0,conda-forge,cartopy,0.24.0,conda-forge
xesmf,xesmf,0.9.2,conda-forge,xesmf,0.9.2,conda-forge,xesmf,0.9.2,conda-forge,xesmf,0.9.2,conda-forge,xesmf,0.9.2,conda-forge,xesmf,0.9.2,conda-forge,xesmf,0.9.2,conda-forge
esmpy,esmpy,8.9.1,conda-forge,esmpy,8.9.1,conda-forge,esmpy,8.9.1,conda-forge,esmpy,8.9.1,conda-forge,esmpy,8.9.1,conda-forge,esmpy,8.9.1,conda-forge,esmpy,8.9.1,conda-forge
xgcm,xgcm,0.9.0,conda-forge,xgcm,0.9.0,conda-forge,xgcm,0.9.0,conda-forge,xgcm,0.9.0,conda-forge,xgcm,0.9.0,conda-forge,xgcm,0.9.0,conda-forge,xgcm,0.9.0,conda-forge
